Total Word Count: 236566
Number of Unique Words: 10774
Number of Words That Occur only Once: 4682
Average Word Count Per Document: 586
30 Most Frequent Words:
Word	TF	IDF	TF*IDF	Probability
i:	9870	0.0032	31.95	0.0417
and:	7959	0.0032	25.76	0.0336
the:	6490	0.0065	42.17	0.0274
to:	6252	0.0011	6.73	0.0264
a:	5322	0.0054	28.78	0.0225
you:	5112	0.0098	50.02	0.0216
that:	4112	0.0198	81.39	0.0174
it:	3814	0.0187	71.21	0.0161
of:	3626	0.0164	59.58	0.0153
so:	3142	0.0164	51.63	0.0133
like:	3052	0.0465	141.84	0.0129
is:	2510	0.0255	63.9	0.0106
my:	2490	0.037	92.15	0.0105
in:	2455	0.0255	62.5	0.0104
i'm:	2399	0.0358	85.98	0.0101
um:	2377	0.138	328.11	0.01
know:	2187	0.0549	120.13	0.0092
this:	2159	0.0277	59.9	0.0091
it's:	2092	0.0489	102.24	0.0088
but:	2032	0.0489	99.31	0.0086
just:	1974	0.0611	120.56	0.0083
was:	1909	0.1192	227.63	0.0081
for:	1791	0.0611	109.38	0.0076
on:	1767	0.0611	107.92	0.0075
have:	1729	0.0441	76.23	0.0073
me:	1455	0.0866	125.94	0.0062
be:	1432	0.0892	127.71	0.0061
really:	1426	0.1178	168.03	0.006
not:	1374	0.08	109.98	0.0058
don't:	1362	0.0866	117.89	0.0058
